x,Cd_0,,Cd_2,Cd_3,Cd_4
0.40017,0.012567,,0.014333,0.016104,0.021027
0.40129,0.012562,,0.014333,0.016104,0.021018
0.40185,0.01256,,0.014333,0.016104,0.021013
0.40301,0.012555,,0.014333,0.016104,0.021004
0.5009,0.012222,,0.014404,0.016058,0.020276
0.50147,0.012221,,0.014405,0.016057,0.020273
0.50202,0.01222,,0.014406,0.016056,0.020269
0.50542,0.012214,,0.014411,0.01605,0.020249
0.6005,0.012059,,0.014416,0.015947,0.01979
0.60109,0.012057,,0.014412,0.015949,0.019788
0.60162,0.012055,,0.014408,0.015951,0.019786
0.60164,0.012054,,0.014408,0.015951,0.019785
0.65115,0.011602,,0.013654,0.016355,0.019989
0.65283,0.011588,,0.013637,0.016364,0.020019
0.65342,0.011584,,0.013632,0.016367,0.02003
0.65397,0.01158,,0.013627,0.01637,0.02004
0.70349,0.01141,,0.013552,0.016494,0.021595
0.72096,0.011474,,0.013713,0.01739,0.022694
0.72148,0.011478,,0.013721,0.017435,0.022737
0.72149,0.011478,,0.013722,0.017436,0.022738
0.72376,0.0115,,0.013759,0.017618,0.022932
0.75019,0.012544,,0.015262,0.019539,0.026642
0.75189,0.012645,,0.015437,0.019698,0.02698
0.75415,0.012775,,0.015665,0.019924,0.027442
0.75869,0.013029,,0.01611,0.02042,0.028366
0.78172,0.014621,,0.018687,0.023553,0.032549
0.78178,0.014626,,0.018695,0.02356,0.03256
0.78396,0.014851,,0.019044,0.023875,0.033033
0.78568,0.015049,,0.019352,0.024119,0.033431
0.79862,0.01722,,0.022054,0.025764,0.036613
0.7998,0.017447,,0.022226,0.025901,0.036871
0.80311,0.017981,,0.022667,0.026281,0.037541
0.80483,0.018169,,0.022908,0.026482,0.037884
0.82121,0.02264,,0.0272,0.031458,0.042659
0.8217,0.022883,,0.027404,0.031714,0.042858
0.82229,0.023188,,0.02766,0.032033,0.043104
0.82284,0.023473,,0.027901,0.032332,0.043335
0.82677,0.025666,,0.029815,0.034601,0.045081
0.85048,0.041369,,0.045614,0.049795,0.057437
0.8505,0.041381,,0.045626,0.049805,0.057446
0.85104,0.041764,,0.046054,0.050145,0.057746
0.85109,0.0418,,0.046094,0.050177,0.057775
0.85272,0.042958,,0.047401,0.05119,0.058683
0.87023,0.054876,,0.059371,0.06201,0.068668
0.87135,0.055563,,0.060044,0.062793,0.069326
0.87193,0.055918,,0.060394,0.063208,0.06967
0.87247,0.056242,,0.060715,0.063594,0.069987
0.87308,0.056613,,0.061082,0.064042,0.070351
0.90015,0.072295,,0.076922,0.083695,0.087549
0.90067,0.072597,,0.077224,0.084025,0.087906
0.90072,0.072631,,0.077257,0.084062,0.087946
0.90461,0.074904,,0.079514,0.086449,0.090639
0.9221,0.085292,,0.089675,0.096181,0.103116
0.92268,0.085632,,0.090014,0.096488,0.103536
0.92323,0.085954,,0.090337,0.096779,0.103936
0.93285,0.091471,,0.096045,0.101881,0.110949
0.94014,0.095566,,0.100666,0.106401,0.116287
0.94129,0.096208,,0.101469,0.107492,0.117128
0.94184,0.096516,,0.101763,0.108202,0.11753
0.94188,0.096538,,0.101784,0.108258,0.117559
0.94248,0.096874,,0.102116,0.108736,0.117998
