x1,Cd_5,Cd_6
0.4004,0.028273,0.038088
0.40267,0.02824,0.038025
0.50121,0.026974,0.035583
0.50393,0.026948,0.03553
0.59977,0.026249,0.034035
0.60321,0.026219,0.033992
0.64303,0.025882,0.033669
0.65498,0.026003,0.033693
0.67779,0.026683,0.034121
0.6998,0.027787,0.03606
0.70323,0.02802,0.036446
0.72326,0.030611,0.039487
0.72597,0.03115,0.040077
0.75371,0.036886,0.047269
0.75386,0.036922,0.047308
0.78092,0.043989,0.054682
0.78575,0.045229,0.056338
0.79803,0.04825,0.060938
0.81921,0.054539,0.067679
0.82154,0.055419,0.068534
0.85062,0.06839,0.080903
0.85508,0.070237,0.083055
0.87225,0.077699,0.093852
0.87417,0.078741,0.095232
0.89877,0.095021,0.112987
0.90496,0.099961,0.11767
0.92151,0.116564,0.1307
0.92458,0.11927,0.133165
0.94087,0.131083,0.146086
