x,Cd_0,Cd_2,Cd_3,Cd_4
0.39911,0.012516,0.014577,0.016287,0.021019
0.40078,0.012512,0.014575,0.016276,0.021016
0.40246,0.012508,0.014573,0.016265,0.021012
0.40252,0.012508,0.014573,0.016265,0.021012
0.50097,0.012343,0.014471,0.016122,0.020959
0.50206,0.012343,0.01447,0.01613,0.020961
0.50377,0.012342,0.014469,0.016144,0.020965
0.50382,0.012342,0.014469,0.016144,0.020965
0.60114,0.012297,0.014422,0.017079,0.021014
0.60167,0.012295,0.014422,0.017078,0.021009
0.60225,0.012294,0.014422,0.017076,0.021003
0.60455,0.012289,0.014421,0.017066,0.020977
0.65178,0.011846,0.014096,0.015904,0.019917
0.65287,0.011829,0.014074,0.015887,0.019918
0.65289,0.011829,0.014073,0.015887,0.019918
0.6535,0.01182,0.014061,0.015878,0.01992
0.70134,0.011205,0.012903,0.016365,0.021343
0.70187,0.011201,0.012893,0.016382,0.021363
0.70465,0.011179,0.012839,0.01648,0.021469
0.72096,0.011128,0.012946,0.017486,0.022983
0.72105,0.011129,0.012951,0.017493,0.022999
0.72382,0.011143,0.013135,0.017684,0.023479
0.72548,0.011156,0.013255,0.017784,0.023771
0.75138,0.012347,0.015266,0.019521,0.028201
0.75248,0.012431,0.015364,0.019631,0.028372
0.75254,0.012435,0.015369,0.019636,0.02838
0.75486,0.012607,0.01558,0.019881,0.028731
0.78289,0.014974,0.018548,0.023619,0.032414
0.78405,0.015125,0.018695,0.023769,0.032587
0.78408,0.01513,0.0187,0.023774,0.032593
0.78471,0.015217,0.018781,0.023854,0.032691
0.80149,0.018106,0.021401,0.026071,0.036131
0.80211,0.018171,0.021505,0.026256,0.036279
0.80264,0.018221,0.021591,0.026454,0.036404
0.80444,0.018371,0.021881,0.02775,0.036827
0.80663,0.018568,0.022257,0.028914,0.037333
0.82122,0.022892,0.026801,0.031133,0.041876
0.82305,0.02383,0.027639,0.031844,0.042617
0.82351,0.024071,0.027853,0.032033,0.042803
0.82354,0.024088,0.027868,0.032046,0.042816
0.85232,0.042916,0.04525,0.049787,0.056787
0.85237,0.042952,0.045289,0.049825,0.056817
0.8529,0.04332,0.045691,0.050215,0.057128
0.85412,0.04416,0.046647,0.051113,0.057857
0.87045,0.054578,0.059335,0.0622,0.069586
0.87166,0.055285,0.060096,0.062907,0.070319
0.87273,0.055911,0.060766,0.063528,0.070946
0.87324,0.056206,0.06108,0.06382,0.071235
0.89821,0.070524,0.075847,0.077752,0.08361
0.90207,0.072744,0.07807,0.079918,0.086229
0.90387,0.073788,0.079108,0.080937,0.088217
0.91738,0.081678,0.086836,0.088809,0.098521
0.92302,0.084962,0.09005,0.092325,0.102709
0.92354,0.085267,0.090351,0.092664,0.103105
0.92424,0.08567,0.09075,0.093119,0.103633
0.94219,0.095781,0.101092,0.106317,0.118022
0.94236,0.095874,0.101191,0.106455,0.118162
0.9428,0.096118,0.10145,0.106813,0.118527
0.94454,0.097087,0.102341,0.108241,0.119977
