x1,Cd_5,Cd_6
0.40121,0.028285,0.037905
0.40181,0.028275,0.037887
0.49906,0.02694,0.035579
0.50015,0.026929,0.035565
0.60133,0.026086,0.034703
0.60193,0.026078,0.034691
0.65024,0.02558,0.033356
0.65196,0.025617,0.033378
0.70082,0.028022,0.035849
0.70197,0.02811,0.035945
0.71992,0.030772,0.039398
0.72051,0.030891,0.039569
0.75137,0.036959,0.047736
0.75197,0.037102,0.047891
0.77832,0.044227,0.054654
0.78285,0.045321,0.055783
0.80139,0.048043,0.060704
0.80191,0.048148,0.060863
0.81987,0.054937,0.068784
0.81992,0.054959,0.068811
0.84848,0.067487,0.083442
0.85022,0.068259,0.084236
0.86986,0.078662,0.093313
0.87036,0.078984,0.093609
0.89671,0.097314,0.112993
0.90013,0.100055,0.115992
0.91749,0.11666,0.132035
0.91856,0.117538,0.132966
0.93818,0.130376,0.147799
0.93936,0.131081,0.14863
