x,Cl_0,Cl_1,Cl_2,Cl_3
0.39611,-0.009,0.07006,0.15351,0.24292
0.39665,-0.009,0.07001,0.15351,0.24297
0.39771,-0.009,0.06991,0.15351,0.24308
0.39873,-0.009,0.06982,0.15351,0.24318
0.49601,-0.01009,0.06651,0.15458,0.25037
0.49698,-0.01012,0.06658,0.15461,0.25041
0.49724,-0.01013,0.0666,0.15462,0.25041
0.49895,-0.01018,0.06673,0.15467,0.25047
0.59714,-0.01255,0.07943,0.15896,0.25145
0.59811,-0.01251,0.0795,0.159,0.25147
0.59824,-0.01251,0.07951,0.159,0.25147
0.59896,-0.01248,0.07955,0.15904,0.25149
0.64682,-0.00795,0.07453,0.1601,0.25263
0.64781,-0.00799,0.07439,0.1601,0.25256
0.64803,-0.00799,0.07436,0.1601,0.25255
0.64865,-0.00802,0.07427,0.1601,0.2525
0.69831,-0.01476,0.07377,0.16061,0.24748
0.69879,-0.01477,0.07382,0.16063,0.24748
0.69898,-0.01478,0.07384,0.16064,0.24748
0.69983,-0.01478,0.07394,0.16067,0.24749
0.71671,-0.00804,0.07888,0.16226,0.25645
0.71742,-0.00775,0.07914,0.1623,0.25695
0.71805,-0.00753,0.07936,0.16233,0.25735
0.71814,-0.0075,0.07939,0.16233,0.25741
0.74605,-0.00719,0.08284,0.16123,0.26147
0.74681,-0.00727,0.08277,0.16116,0.26129
0.7474,-0.00733,0.08271,0.16111,0.26113
0.74921,-0.00752,0.08247,0.16093,0.26059
0.77741,-0.00986,0.07428,0.15442,0.24268
0.7785,-0.00983,0.074,0.15386,0.24169
0.77954,-0.00979,0.07374,0.15329,0.24072
0.77973,-0.00978,0.07369,0.15318,0.24054
0.79729,-0.00556,0.0695,0.13536,0.21826
0.79778,-0.00536,0.06923,0.13471,0.21732
0.79952,-0.00464,0.06811,0.13249,0.21381
0.8006,-0.00418,0.06728,0.13114,0.21146
0.81597,0.00141,0.05521,0.11371,0.17513
0.81735,0.00174,0.05448,0.11229,0.17233
0.81837,0.00196,0.05396,0.11125,0.17031
0.82145,0.00253,0.05254,0.10816,0.1645
0.84761,0.0042,0.04484,0.08715,0.13028
0.84907,0.0042,0.04464,0.08657,0.12962
0.84995,0.0042,0.04454,0.0863,0.12934
0.85025,0.00419,0.04451,0.08622,0.12927
0.8676,0.00413,0.04997,0.10169,0.14817
0.8689,0.00418,0.05088,0.10352,0.1509
0.86948,0.00421,0.05129,0.10432,0.15213
0.87023,0.00425,0.05182,0.10535,0.15373
0.89508,0.00701,0.06767,0.13481,0.20311
0.89727,0.00746,0.06887,0.13698,0.20653
0.89994,0.00809,0.07025,0.13945,0.21025
0.90004,0.00811,0.07029,0.13954,0.21037
0.91585,0.01383,0.07457,0.14705,0.22047
0.91697,0.01417,0.07464,0.14706,0.2205
0.91865,0.01457,0.07477,0.147,0.22044
0.92023,0.0148,0.0749,0.14689,0.22027
0.93734,0.01112,0.07714,0.14368,0.21478
0.9385,0.01068,0.07732,0.14342,0.21429
0.93947,0.01031,0.07746,0.14319,0.21389
0.94009,0.01007,0.07756,0.14305,0.21363
