x,Cl_0,Cl_1,Cl_2,Cl_3
0.39258,-0.00996,0.07003,0.15349,0.24232
0.39646,-0.01008,0.06923,0.1535,0.24341
0.39659,-0.01009,0.06921,0.1535,0.24345
0.39745,-0.01012,0.06907,0.1535,0.2437
0.40784,-0.01046,0.06891,0.15351,0.24644
0.40874,-0.01049,0.06901,0.1535,0.24663
0.41522,-0.01069,0.07,0.15333,0.24762
0.4206,-0.01084,0.07098,0.15294,0.24787
0.42358,-0.01092,0.07153,0.15267,0.24785
0.43183,-0.01112,0.07283,0.15193,0.24764
0.43415,-0.01116,0.07306,0.15176,0.24762
0.43982,-0.01124,0.07324,0.15154,0.24773
0.44906,-0.01121,0.07283,0.15215,0.24818
0.44929,-0.0112,0.07282,0.15218,0.24819
0.45394,-0.0111,0.0728,0.15266,0.24841
0.45505,-0.01106,0.07282,0.15273,0.24846
0.46657,-0.0107,0.07339,0.15291,0.24872
0.46778,-0.01068,0.07348,0.15294,0.24873
0.47189,-0.01064,0.07379,0.15316,0.24875
0.47793,-0.01074,0.07423,0.15382,0.24874
0.48133,-0.01085,0.07443,0.15434,0.24872
0.48295,-0.01091,0.07451,0.15462,0.24871
0.49364,-0.0112,0.07485,0.15619,0.24856
0.49798,-0.01121,0.07494,0.15652,0.24846
0.49968,-0.01119,0.07498,0.15658,0.24841
0.50413,-0.01111,0.07507,0.15661,0.2483
0.51511,-0.01092,0.07543,0.15631,0.24829
0.51945,-0.01093,0.07573,0.15624,0.24846
0.52362,-0.01098,0.07619,0.1563,0.24872
0.52369,-0.01098,0.0762,0.1563,0.24872
0.53856,-0.0112,0.07838,0.15807,0.24997
0.53999,-0.01122,0.07843,0.15831,0.25009
0.54147,-0.01122,0.07845,0.15854,0.25021
0.54458,-0.01123,0.07843,0.15888,0.25042
0.55305,-0.01119,0.07817,0.1591,0.25068
0.5652,-0.01094,0.07811,0.15955,0.25042
0.56567,-0.01092,0.07813,0.15957,0.25041
0.56598,-0.01091,0.07815,0.15958,0.2504
0.57395,-0.0106,0.0792,0.15966,0.2502
0.58348,-0.01033,0.08039,0.15887,0.25007
0.58526,-0.01034,0.08028,0.15882,0.25006
0.58657,-0.01036,0.08012,0.15888,0.25006
0.59515,-0.01086,0.07869,0.15972,0.25014
0.59966,-0.01118,0.0782,0.15994,0.25026
0.60213,-0.01132,0.07815,0.15997,0.25035
0.60664,-0.01148,0.07851,0.15991,0.25053
0.62,-0.01146,0.08099,0.15938,0.25098
0.62189,-0.01146,0.08123,0.15934,0.25099
0.62311,-0.01146,0.08132,0.15935,0.25098
0.62762,-0.01152,0.08112,0.15994,0.25086
0.63319,-0.01176,0.08026,0.1606,0.2506
0.63687,-0.01205,0.07983,0.16081,0.25047
0.64089,-0.01246,0.07962,0.16078,0.2505
0.64373,-0.01277,0.07956,0.16054,0.2507
0.65474,-0.01384,0.07972,0.15938,0.25285
0.6589,-0.014,0.07983,0.15958,0.25375
0.65976,-0.01401,0.07985,0.15966,0.25392
0.66405,-0.01387,0.07993,0.16014,0.25462
0.67027,-0.0133,0.07984,0.16078,0.25523
0.67501,-0.01274,0.07955,0.16072,0.25547
0.6796,-0.01221,0.07914,0.16022,0.2556
0.68489,-0.01176,0.07867,0.16051,0.25569
0.68777,-0.01163,0.07844,0.16107,0.25574
0.68891,-0.01159,0.07837,0.16134,0.25577
0.69423,-0.01152,0.07815,0.16277,0.25607
0.70189,-0.01152,0.07836,0.16474,0.25714
0.70302,-0.01152,0.07845,0.16499,0.25735
0.71087,-0.0112,0.07946,0.16598,0.25869
0.71286,-0.01101,0.07983,0.16606,0.25893
0.71657,-0.01048,0.08063,0.16611,0.25925
0.71967,-0.00991,0.08132,0.16609,0.25938
0.72782,-0.00833,0.08207,0.1658,0.25928
0.73119,-0.00784,0.08131,0.16557,0.25917
0.73437,-0.00756,0.08013,0.16527,0.25909
0.73999,-0.00737,0.07843,0.16451,0.25924
0.74114,-0.00736,0.07831,0.16432,0.25938
0.75049,-0.00766,0.07909,0.16246,0.26021
0.75102,-0.00769,0.07914,0.16234,0.25994
0.75326,-0.00781,0.07927,0.16182,0.25868
0.75379,-0.00784,0.07927,0.16169,0.25835
0.76153,-0.00831,0.07795,0.1591,0.25307
0.76627,-0.00855,0.07619,0.1569,0.24951
0.77145,-0.00872,0.07393,0.15428,0.24538
0.77456,-0.00872,0.07261,0.15266,0.24259
0.77583,-0.00868,0.0721,0.152,0.2412
0.77799,-0.00856,0.0713,0.15087,0.23866
0.78128,-0.00821,0.07031,0.14901,0.23555
0.7859,-0.00734,0.06944,0.14566,0.23103
0.78879,-0.00662,0.06913,0.14243,0.22773
0.7905,-0.00616,0.069,0.14024,0.22542
0.7933,-0.0054,0.06883,0.13725,0.22104
0.79626,-0.00453,0.06863,0.135,0.21595
0.79763,-0.00409,0.0685,0.13409,0.21373
0.8038,-0.00156,0.06739,0.12969,0.20488
0.8046,-0.00112,0.06714,0.12893,0.20344
0.80505,-0.00086,0.06699,0.12847,0.20252
0.80928,0.00206,0.06499,0.12278,0.19094
0.8105,0.00287,0.06417,0.12102,0.18852
0.81092,0.00312,0.06387,0.12045,0.1878
0.81614,0.00504,0.05937,0.11423,0.18044
0.81888,0.00524,0.0569,0.11092,0.17669
0.82064,0.00521,0.05546,0.1085,0.17402
0.82133,0.00517,0.05494,0.10748,0.17283
0.82544,0.00478,0.05236,0.10196,0.16353
0.82906,0.00429,0.05044,0.09852,0.15574
0.83169,0.00394,0.04902,0.09632,0.15193
0.83396,0.00367,0.04765,0.0944,0.14919
0.83423,0.00364,0.04748,0.09415,0.14888
0.83931,0.0034,0.04443,0.08937,0.14342
0.84106,0.00346,0.04362,0.08796,0.13867
0.84132,0.00347,0.04352,0.08777,0.13754
0.84161,0.00349,0.04342,0.08757,0.13651
0.8476,0.00417,0.04284,0.08534,0.12689
0.84779,0.0042,0.04286,0.08534,0.12688
0.8487,0.00434,0.04299,0.08543,0.12716
0.85093,0.00466,0.04342,0.08639,0.12971
0.85601,0.0053,0.04477,0.09132,0.13954
0.85628,0.00532,0.04485,0.09161,0.14006
0.8608,0.00559,0.0465,0.09649,0.14813
0.86134,0.0056,0.04672,0.09705,0.14902
0.86668,0.00542,0.04953,0.10224,0.1573
0.86914,0.00525,0.05118,0.10427,0.16078
0.86925,0.00525,0.05126,0.10435,0.16093
0.87518,0.00504,0.05569,0.10901,0.16847
0.87764,0.00515,0.05734,0.1112,0.17148
0.87825,0.0052,0.0577,0.11178,0.17226
0.87951,0.00533,0.05841,0.113,0.17395
0.88622,0.00652,0.06194,0.1199,0.18543
0.88782,0.00691,0.06303,0.12159,0.18829
0.88816,0.007,0.06329,0.12196,0.18888
0.8928,0.00835,0.06765,0.12689,0.19634
0.89378,0.00864,0.06862,0.12792,0.19776
0.89569,0.00919,0.07031,0.12987,0.20034
0.89944,0.01008,0.07227,0.13331,0.20477
0.90122,0.01037,0.07274,0.13473,0.20661
0.90191,0.01047,0.07289,0.13527,0.20728
0.90301,0.0106,0.07311,0.13613,0.20834
0.9096,0.01148,0.07429,0.14183,0.21543
0.90977,0.01152,0.07432,0.142,0.21569
0.91078,0.0118,0.07447,0.14314,0.21747
0.91317,0.01262,0.07479,0.14634,0.22181
0.91537,0.01329,0.07505,0.14867,0.22353
0.91807,0.01373,0.07534,0.14979,0.22355
0.91864,0.01376,0.07539,0.14986,0.22342
0.92644,0.01331,0.07619,0.14852,0.22028
0.92669,0.01327,0.07622,0.14844,0.22017
0.93078,0.01261,0.0768,0.14698,0.21842
0.93392,0.01191,0.07748,0.14566,0.21717
0.93434,0.01181,0.07759,0.14547,0.217
0.93899,0.01036,0.07892,0.14297,0.21523
0.94,0.01002,0.07923,0.14225,0.21485
0.94101,0.00969,0.07954,0.14146,0.21446
0.94195,0.0094,0.07983,0.14071,0.21411
