x1,Cl_4,Cl_5,Cl_6
0.39479,0.33352,0.42582,0.50931
0.39596,0.33344,0.42581,0.50916
0.39605,0.33343,0.42581,0.50915
0.49588,0.32938,0.42838,0.50797
0.49589,0.32938,0.42838,0.50797
0.49882,0.3294,0.42866,0.50836
0.59746,0.3325,0.43934,0.52595
0.5975,0.3325,0.43934,0.52595
0.64156,0.33024,0.42917,0.53135
0.64607,0.32982,0.42819,0.53153
0.6489,0.32959,0.42769,0.53158
0.69464,0.32893,0.42514,0.52408
0.69466,0.32893,0.42514,0.52408
0.71504,0.33594,0.4319,0.51683
0.71551,0.33634,0.43236,0.51675
0.71718,0.33783,0.43396,0.51658
0.74212,0.35264,0.43113,0.52068
0.7442,0.35231,0.42911,0.51956
0.7449,0.35213,0.42838,0.51909
0.77112,0.32584,0.39234,0.48482
0.77545,0.31868,0.38533,0.47782
0.79112,0.28634,0.35794,0.44282
0.79588,0.27532,0.3489,0.39974
0.79602,0.27501,0.34863,0.39919
0.79845,0.26957,0.3438,0.39229
0.81584,0.2335,0.29568,0.36502
0.81739,0.23035,0.29062,0.36255
0.81773,0.22965,0.28954,0.362
0.84482,0.17862,0.23239,0.31876
0.84603,0.17696,0.2318,0.3174
0.84797,0.17477,0.23167,0.31568
0.86345,0.20391,0.26576,0.33303
0.86494,0.20668,0.26982,0.33549
0.86585,0.20829,0.27218,0.33696
0.89512,0.24615,0.32345,0.38394
0.8959,0.24701,0.32445,0.38553
0.91373,0.26599,0.34434,0.42912
0.926,0.27858,0.35582,0.43095
0.93373,0.28644,0.36295,0.42705
0.9369,0.28966,0.36596,0.42516
